source_paper,star_name,cluster_name,source_id,ra,dec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,parallax,parallax_error,bp_rp_0,ruwe,phot_g_mean_mag,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Pass2022,G 271-110,,2478001486169801216,24.23068061742952,-6.794333571507654,1.06,0.2707775239351335,0.1279029478106313,0.1875791967498066,41.69892726044635,0.0445653051137924,2.8796167373657227,1.708186149597168,12.708993,01365516-0647379,8.862,0.021,0.0,0.0,8.862,6.963560371969344,0.2939438784334642,0.0070571765638694,0.0071263086044039,237.0553435078004,0.0044715296618703,48.83258239097205
Pass2022,LP 99-392,,1603272950424941440,233.8585360449292,60.08470833271646,1.196,0.321519418120576,0.0608824373935291,0.0639109643297692,51.346175446970754,0.019286885857582,2.7766218185424805,1.356397271156311,12.155627,15352566+6005077,8.412,0.019,0.0,0.0,8.412,6.964897202766265,0.2937388260550911,0.0069429484672116,0.0070414624143193,236.96342877919463,0.0050471923290511,48.804567109776826
Pass2022,LP 128-32,,837177915851182080,162.6579759864245,51.75044065157382,6.5,0.2258779688883771,0.0701910039704089,0.0836006361532243,37.888515571378335,0.0278541836887598,2.7945518493652344,1.4145148992538452,12.762718,10503825+5145016,9.015,0.018,0.0,0.0,9.015,6.908548241107022,0.3016837328662121,0.0071032986141189,0.0071504466564567,237.57251814298488,0.0273600669421196,48.82613129800843
Pass2022,LP 876-10,,6623351805412369024,342.0203381724408,-24.369627417603155,0.318,0.2195034959310978,0.0346418366547723,0.04615537609692,130.27065669284806,0.0324905216693878,3.01472282409668,1.2056622505187988,11.129232,22480446-2422075,7.206,0.021,0.0,0.0,7.206,7.780662529430388,0.1973819782711376,0.0047384590436723,0.0047886716365915,209.94901180160625,0.00151465347358,34.3025222465752
Pass2022,LSPM J0849+0329W,,581103581886377728,132.25872745771025,3.4966575622998417,4.4,4.030931383166562,0.5040781490325195,0.5323713301024009,32.95005143827675,0.0198602024465799,2.915384292602539,1.083454728126526,13.747092,08490225+0329470,9.911,0.023,0.0,0.0,9.911,7.503905560724675,0.226111760442361,0.0055250553873708,0.005580600736548,206.64959661828837,0.0212920812428559,39.56501927043757
Pass2022,G 232-62,,2005804153064109056,334.01245712699904,54.66681023756337,59.0,0.4280864992648809,0.1795928377906606,0.1989564622382175,45.62526269464586,0.0202824622392654,2.851559638977051,1.2321561574935913,12.732375,22160258+5439594,8.934,0.02,0.0,0.0,8.934,7.231071512298357,0.2584562670116465,0.0061557217126672,0.0062190738421144,221.14802168797053,0.266789635058306,43.9840874804662
Pass2022,2MASS J22562702+7600101,,2281128259862423680,344.11334050171035,76.0026790371143,2.51,2.339856314727224,0.1925604294548888,0.1856144321509414,40.76475958854913,0.0135673526674509,2.960723876953125,1.2299580574035645,13.652215,22562702+7600101,9.774,0.021,0.0,0.0,9.774,7.82792598808876,0.1928925396175045,0.0046476392546223,0.0046729511798383,211.14769192212628,0.0118874138625475,33.42371463012651
Pass2022,2MASS J05363846+1117487,,3339914973377653760,84.16024229906046,11.296613294698856,5.3,0.2153541043134414,0.0507449233396375,0.0477818421262945,87.34527041122139,0.033754501491785,2.813897132873535,1.226538896560669,11.196607,05363846+1117487,7.406,0.026,0.0,0.0,7.406,7.112832051858018,0.2736983058665779,0.0068917917256922,0.0069673060936045,227.9802656046936,0.0232476262186216,46.066531039021214
Pass2022,LHS 2928,,6272325816233230848,217.5723222623353,-24.05622544251334,126.233,5.9,0.0,7.886885302009706,30.92889031977888,0.1087961643934249,2.8938770294189453,5.506028652191162,13.776616,14301798-2403159,9.917,0.023,0.0,0.0,9.917,7.373000005057246,0.2411440789422805,0.0059919940533866,0.0060553329136663,213.38783338587723,0.5915660607122251,41.61880978548907
Engle2023,L266-195,,5932005595773303040,246.75929643997816,-54.1971535373912,23.19,2.5,0.93,1.82,21.820557574295005,0.014829127,,0.7969157,10.955764,16270219-5411507,8.177,0.017,0.0,0.0,8.177,4.87421359821256,0.6201935998358133,0.0149966315343249,0.0151129303111765,41.63679681604338,0.5569592709654478,2.295179201665322
Engle2023,G201-40,,1600882199829338368,227.9715095500628,56.41314630588021,77.6,5.16,2.87,3.77,17.41767670563224,0.018178198,,1.2193037,14.626679,15115361+5624523,11.148,0.02,0.0,0.0,11.148,7.358090136743266,0.242914529601304,0.0058134871776315,0.0058608994787349,214.18143789378456,0.3623096415968729,41.86069760677817
Engle2023,Proxima Cen,,5853498713190525696,217.39232147200883,-62.67607511676666,86.4,5.3,0.7,0.7,768.0665391873573,0.049872905,,0.97145325,8.984749,14294291-6240465,4.384,0.033,0.0,0.0,4.384,8.811092934125512,0.123944429493356,0.0031967947484989,0.0032449948428716,214.59,0.4026282678596393,30.9
Engle2023,G87-28,,946030529073022080,107.55549608697169,37.66831559930888,91.1,5.42,1.45,1.7,44.60083534517721,0.4368635,,33.12374,13.232475,07101359+3740104,9.473,0.018,0.0,0.0,9.473,7.722103512857377,0.2031135608044242,0.0051610374459829,0.0052563489246894,208.4186792652187,0.4371009370233684,35.42447952746605
Engle2023,2MASS J23095781+5506472,,1996725077535282944,347.4942602443266,55.11334934475551,104.1,5.47,0.26,0.61,60.92132302167948,0.0270537957549095,3.5264387070201337,1.1729120016098022,13.98619270324707,23095781+5506472,9.601,0.015,0.0,0.0,9.601,8.526654036859043,0.1394941167087189,0.0032226554107598,0.0032371120368961,214.59,0.4851111421781071,30.9
Engle2023,LSPM J1604+3909W,,1379500928055726848,241.20868366880867,39.16016523606519,127.9,6.9,0.9,0.9,69.63745120606852,0.019233797,,1.1453565,12.854803,16045093+3909359,9.159,0.017,0.0,0.0,9.159,8.373775637093917,0.1491954419455987,0.0034718545601505,0.0035116134362186,214.59,0.5960203178153689,30.9
Engle2023,LHS 229,,975968718869126144,112.67690130725812,48.19395397764997,152.3,8.71,0.46,0.56,88.7231202625499,0.029806500300765,,1.356261134147644,12.116490364074709,07304280+4811599,8.34,0.015,0.0,0.0,8.34,8.08063245621549,0.1708338984552221,0.0039432345614963,0.0039661723457061,214.59,0.7097255230905448,30.9
Engle2023,GJ 299,,3098328182579892096,122.99468256110134,8.750401522062495,156.9,9.5,1.5,1.5,147.72184850183513,0.094956644,,2.0968676,11.397289,08115757+0846220,7.66,0.026,0.0,0.0,7.66,8.507502389813672,0.1406448415403419,0.0034829152317679,0.0035393635883172,214.59,0.7311617503145533,30.9
Engle2023,LP 906-23,,5402903764121955840,170.83997871620534,-32.38324719419744,78.3,4.86,1.57,4.41,10.84782568856653,0.038403213,,1.1790636,15.117716,11232190-3223003,11.297,0.023,0.0011393525949283,5.843082410407949e-05,11.295860647405071,6.480091364148283,0.3660419402165088,0.0089436315236188,0.0090267119420821,153.57701277492893,0.5098419261139729,16.952729107774005
Engle2023,GJ 213,,3340477717172813568,85.547707594821,12.482359917793618,158.6,9.5,1.5,1.5,172.67623105398982,0.028589317575097,2.869905471801758,1.114727020263672,10.11378002166748,05420897+1229252,6.389,0.016,0.0,0.0,6.389,7.575886726735875,0.2182347196668671,0.0050409793861832,0.0051080834373873,204.38132984894648,0.7760004307498027,38.38444637478924
Engle2023,Barnard's Star (GJ 699),,4472832130942575872,269.4485025254384,4.739420051112412,149.1,9.5,1.5,1.5,546.975939730948,0.0401163548231124,2.8336968421936035,1.084850549697876,8.193974494934082,17574849+0441405,4.524,0.02,0.0,0.0,4.524,8.213992654640819,0.1605086910343972,0.0038331984446891,0.0038561516051308,214.59,0.6948133650216692,30.9
Engle2023,GJ 273,,3139847906307949696,111.85462844259372,5.209382701706996,157.3,9.5,1.5,1.5,264.12689775460655,0.04127979,2.7577581,1.2387705,8.576388,07272450+0513329,4.857,0.023,0.0,0.0,4.857,6.966298381615566,0.2935584272346544,0.0071465310168329,0.0072433955055694,236.88256500793383,0.6640421172184268,48.77992012093466
Engle2023,LHS 1802,,198027271140075136,88.93244720039185,46.84707955960631,150.4,9.97,2.39,1.98,33.56248391329198,0.018849714,,1.1706221,14.059253,05554377+4650585,10.274,0.023,0.0,0.0,10.274,7.907177795686495,0.1856169425513903,0.0045342413477783,0.0045921464280811,213.0902763387788,0.7058041435963438,31.999516504434656
